video_key,channel_id,video_title,video_published_at,video_views,video_likes,video_duration,video_category_id,video_tags
d9d4f9cd3c378b053d973aead565142b,UC7QZIf0dta-XPXsp9Hv4dTw,GUERRA UCRANIA: La OTAN pide a RUSIA y a COREA del NORTE que RETIREN las TROPAS NORCOREANAS | RTVE,2024-10-28 15:33:25+00:00,75990,899,115.0,25,"['rtve', 'tve', 'la 1', 'canal', '24 horas', '24h', 'noticias', 'ultima hora', 'informacion', 'noticias de última hora', 'directo', 'telediario', 'rtve estrenos', 'rueda de prensa', 'informativo', 'televisión española', 'rtve noticias', 'en vivo', 'odesa ucrania', 'otan ucrania rusia', 'Corea del Norte Rusia', 'guerra en ucrania', 'ucrania rusia', 'ucranianos desaparecidos', 'toque de queda en Odesa', 'intercambio de prisioneros ucranianos', 'odessa', 'ukraine odessa']"
404535594e675a061b6abde503298d40,UC7QZIf0dta-XPXsp9Hv4dTw,"El NORTE del CONTINENTE AFRICANO, OTRO FRENTE de la GUERRA de UCRANIA | RTVE Noticias",2024-04-27 16:01:35+00:00,94550,1155,130.0,25,"['rtve', 'tve', 'la 1', 'canal', '24 horas', '24h', 'noticias', 'ultima hora', 'informacion', 'noticias de última hora', 'directo', 'telediario', 'rtve estrenos', 'rueda de prensa', 'informativo', 'televisión española', 'rtve noticias', 'Ucrania', 'Rusia', 'UcraniavsRussia', 'guerra', 'misiles', 'patriot', 'Donestk', 'fuerzas armadas', 'Zaporiyia', 'Wagner', 'África', 'Sahel', 'norte del continente africano', 'Sudán', 'mercenarios']"
f639d74d6a692360ee56ebc4ebb2b9d0,UC7QZIf0dta-XPXsp9Hv4dTw,"GUERRA UCRANIA: Nueva INCURSIÓN en KURSK de las TROPAS de ZELENSKI que califican de ""ÉXITO"" | RTVE",2024-09-23 18:21:11+00:00,64551,651,88.0,25,"['rtve', 'tve', 'la 1', 'canal', '24 horas', '24h', 'noticias', 'ultima hora', 'informacion', 'noticias de última hora', 'directo', 'telediario', 'rtve estrenos', 'rueda de prensa', 'informativo', 'televisión española', 'rtve noticias', 'en vivo', 'guerra ucrania', 'kursk']"
5594f62dd8fb10ad52cf335336ac84d4,UC7QZIf0dta-XPXsp9Hv4dTw,GUERRA UCRANIA: Por el PUERTO de ODESA SALE el 95% de las EXPORTACIONES UCRANIANAS | RTVE Noticias,2024-11-17 16:32:43+00:00,37627,430,126.0,25,"['rtve', 'tve', 'la 1', 'canal', '24 horas', '24h', 'noticias', 'ultima hora', 'informacion', 'noticias de última hora', 'directo', 'telediario', 'rtve estrenos', 'rueda de prensa', 'informativo', 'televisión española', 'rtve noticias', 'en vivo', 'putin', 'zelenski', 'zelensky', 'moscow', 'moscú', 'kiev', 'kyiv', 'rusia', 'russia', 'ucrania', 'ukraine', 'guerra', 'Donbás', 'puertos', 'Odesa']"
1f5f429fa3181feed8d972aef43a3122,UC7QZIf0dta-XPXsp9Hv4dTw,GUERRA UCRANIA: La POBLACIÓN celebra la PASCUA ORTODOXA a pesar de los BOMBARDEOS de RUSIA I RTVE,2024-05-05 14:35:13+00:00,5188,71,81.0,25,"['rtve', 'tve', 'la 1', 'canal', '24 horas', '24h', 'noticias', 'ultima hora', 'informacion', 'noticias de última hora', 'directo', 'telediario', 'rtve estrenos', 'rueda de prensa', 'informativo', 'televisión española', 'rtve noticias', 'guerra ucrania', 'pascua ortodoxa', 'rusia', 'bombardeos']"
582a085d5bb19a480452e0c780c0fd1b,UC7QZIf0dta-XPXsp9Hv4dTw,GUERRA: UCRANIA destruye un PUENTE en KURSK mientras RUSIA avanza en el DONBÁS | RTVE Noticias,2024-08-17 15:09:01+00:00,434161,5422,123.0,25,"['rtve', 'tve', 'la 1', 'canal', '24 horas', '24h', 'noticias', 'ultima hora', 'informacion', 'noticias de última hora', 'directo', 'telediario', 'rtve estrenos', 'rueda de prensa', 'informativo', 'televisión española', 'rtve noticias', 'en vivo', 'putin', 'zelenski', 'zelensky', 'moscow', 'moscú', 'kiev', 'kyiv', 'rusia', 'russia', 'ucrania', 'ukraine', 'guerra', 'evacuación', 'kursk', 'puente', 'puente de Kursk', 'Donbás']"
f1cc9fb49821414ca1867a0723473ef8,UC7QZIf0dta-XPXsp9Hv4dTw,"GUERRA UCRANIA: RUSIA intensifica los ATAQUES con MISILES, BOMBARDEOS y 70 DRONES | RTVE",2024-11-11 15:34:52+00:00,41906,422,134.0,25,"['rtve', 'tve', 'la 1', 'canal', '24 horas', '24h', 'noticias', 'ultima hora', 'informacion', 'noticias de última hora', 'directo', 'telediario', 'rtve estrenos', 'rueda de prensa', 'informativo', 'televisión española', 'rtve noticias', 'en vivo', 'guerra en ucrania', 'ucrania rusia', 'kiev guerra', 'soldados ucranianos', 'reclutas ucranianos', 'ejército ruso', 'drones', 'misiles', 'putin trump', 'kremlin', 'ukraine war', 'combatientes guerra', 'moscú', 'zelenski']"
a246fb18e655aeae26a934c345568deb,UC7QZIf0dta-XPXsp9Hv4dTw,"GUERRA UCRANIA: KIEV asegura que NO BUSCA ""ANEXIONARSE"" territorio RUSO tras la OFENSIVA en KURSK",2024-08-13 15:20:39+00:00,79973,959,81.0,25,"['rtve', 'tve', 'la 1', 'canal', '24 horas', '24h', 'noticias', 'ultima hora', 'informacion', 'noticias de última hora', 'directo', 'telediario', 'rtve estrenos', 'rueda de prensa', 'informativo', 'televisión española', 'rtve noticias', 'en vivo', 'guerra', 'Ucrania', 'Rusia', 'Kursk', 'anexión', 'Kiev', 'Moscú', 'Kremlin', 'Donbas', 'Volodimir Zelenski', 'Vladimir Putin', 'guerra gaza']"
703842ba0e61fdce6322cf5d63c546ad,UC7QZIf0dta-XPXsp9Hv4dTw,GUERRA UCRANIA: DECENAS de COMBATIENTES VOLUNTARIOS MAYORES de 60 AÑOS LUCHAN en el CONFLICTO | RTVE,2024-08-31 15:24:48+00:00,21038,320,62.0,25,"['rtve', 'tve', 'la 1', 'canal', '24 horas', '24h', 'noticias', 'ultima hora', 'informacion', 'noticias de última hora', 'directo', 'telediario', 'rtve estrenos', 'rueda de prensa', 'informativo', 'televisión española', 'rtve noticias', 'en vivo', 'putin', 'zelenski', 'zelensky', 'moscow', 'moscú', 'kiev', 'kyiv', 'rusia', 'russia', 'ucrania', 'ukraine', 'guerra', 'Donbás', 'los abuelos del frente', 'combatientes voluntarios', 'mayores de 60 años', 'los lobos esteparios', 'reclutamiento']"
4dfcf5481f3942e0b217475184a752cf,UC7QZIf0dta-XPXsp9Hv4dTw,GUERRA UCRANIA: ZELENSKI destituye al JEFE de las FUERZAS ARMADAS y hará CAMBIOS en la CÚPULA | RTVE,2024-02-08 17:59:00+00:00,19700,226,28.0,25,"['rtve', 'tve', 'la 1', 'canal', '24 horas', '24h', 'noticias', 'ultima hora', 'informacion', 'noticias de última hora', 'directo', 'telediario', 'rtve estrenos', 'rueda de prensa', 'informativo', 'televisión española', 'rtve noticias', 'Valerii Zaluzhnyi', 'guerra ucrania', 'ucrania', 'guerra', 'rusia', 'zelenski', 'destitucion', 'jefe', 'fuerzas armadas', 'cupula militar', 'putin', 'moscu', 'kiev']"
0c56f63d6f11e9f5c682848280157a4f,UC7QZIf0dta-XPXsp9Hv4dTw,"GUERRA UCRANIA: RUSIA necesita VOLUNTARIOS y les sube el SUELDO, 50 MIL EUROS el PRIMER AÑO | RTVE",2024-09-06 15:30:38+00:00,65322,547,111.0,25,"['rtve', 'tve', 'la 1', 'canal', '24 horas', '24h', 'noticias', 'ultima hora', 'informacion', 'noticias de última hora', 'directo', 'telediario', 'rtve estrenos', 'rueda de prensa', 'informativo', 'televisión española', 'rtve noticias', 'en vivo', 'rusia', 'kursk', 'ucrania', 'zelenski', 'kiev', 'moscú', 'putin', 'eeuu', 'guerra', 'donetsk']"
0310d1b9f727ab0a37477c726fbd8770,UC7QZIf0dta-XPXsp9Hv4dTw,GUERRA UCRANIA: PUTIN niega haber LANZADO un MISIL INTERCONTINENTAL como afirmaba KIEV | RTVE,2024-11-22 09:46:19+00:00,23749,214,62.0,25,"['rtve', 'tve', 'la 1', 'canal', '24 horas', '24h', 'noticias', 'ultima hora', 'informacion', 'noticias de última hora', 'directo', 'telediario', 'rtve estrenos', 'rueda de prensa', 'informativo', 'televisión española', 'rtve noticias', 'en vivo', 'misil', 'guerra ucrania', 'ucrania', 'rusia', 'putin', 'zelenski', 'ataques', 'kiev', 'dnipro']"
0ac888f0c07069353dbfc4af48b3425c,UC7QZIf0dta-XPXsp9Hv4dTw,GUERRA UCRANIA: ZELENSKI usa por PRIMERA VEZ MISILES de LARGO ALCANCE tras MIL DÍAS de INVASIÓN |,2024-11-19 15:18:13+00:00,30554,484,130.0,25,"['rtve', 'tve', 'la 1', 'canal', '24 horas', '24h', 'noticias', 'ultima hora', 'informacion', 'noticias de última hora', 'directo', 'telediario', 'rtve estrenos', 'rueda de prensa', 'informativo', 'televisión española', 'rtve noticias', 'en vivo', 'Guerra en Ucrania', 'zelenskyy', 'putin', 'rusia', 'misiles de largo alcance']"
dd951a771b09076915f4e41b71735929,UC7QZIf0dta-XPXsp9Hv4dTw,GUERRA UCRANIA: PRIMER ATAQUE OFENSIVO a RUSIA con ARMAS OCCIDENTALES | RTVE Noticias,2024-06-04 12:17:32+00:00,91154,1060,66.0,25,"['rtve', 'tve', 'la 1', 'canal', '24 horas', '24h', 'noticias', 'ultima hora', 'informacion', 'noticias de última hora', 'directo', 'telediario', 'rtve estrenos', 'rueda de prensa', 'informativo', 'televisión española', 'rtve noticias', 'guerra ucrania', 'ucrania', 'rusia', 'estados unidos', 'putin', 'armas', 'dymitro kuleba', 'alemania', 'francia', 'KIEV', 'jarkov', 'belgorod']"
16d73962a2e364b7ef60a944f6cf9892,UC7QZIf0dta-XPXsp9Hv4dTw,RUSIA: ACUSA a un ciudadano UZBEKO de ASESINAR con un PATINETE BOMBA al GENERAL KIRILLOV | RTVE,2024-12-18 15:30:22+00:00,100850,981,110.0,25,"['rtve', 'tve', 'la 1', 'canal', '24 horas', '24h', 'noticias', 'ultima hora', 'informacion', 'noticias de última hora', 'directo', 'telediario', 'rtve estrenos', 'rueda de prensa', 'informativo', 'televisión española', 'rtve noticias', 'en vivo', 'Rusia', 'Moscú', 'Ucrania', 'Kiev', 'guerra', 'Igor Kirillov', 'Uzbekistán', 'bomba', 'explosión', 'asesinato', 'patinete', 'servicios secretos']"
